step,alive,fused_us
319,1000000,446.427
320,1000000,405.468
321,1000000,398.241
322,1000000,454.257
323,1000000,459.979
324,1000000,389.507
325,1000000,417.113
326,1000000,397.739
327,1000000,388.202
328,1000000,475.440
329,1000000,379.368
330,1000000,403.460
331,1000000,428.055
332,1000000,389.607
333,1000000,385.893
334,1000000,402.758
335,1000000,445.122
336,1000000,388.503
337,1000000,446.025
338,1000000,403.661
339,1000000,460.782
340,1000000,390.310
341,1000000,456.566
342,1000000,390.712
343,1000000,455.863
344,1000000,450.944
345,1000000,385.591
346,1000000,380.874
347,1000000,455.662
348,1000000,420.025
349,1000000,482.768
350,1000000,427.554
351,1000000,403.260
352,1000000,457.370
353,1000000,392.117
354,1000000,407.476
355,1000000,401.252
356,1000000,409.183
357,1000000,383.985
358,1000000,394.727
359,1000000,423.639
360,1000000,450.844
361,1000000,381.877
362,1000000,411.291
363,1000000,408.882
364,1000000,390.008
365,1000000,471.223
366,1000000,404.364
367,1000000,384.990
368,1000000,441.307
369,1000000,410.689
370,1000000,389.607
371,1000000,386.596
372,1000000,428.458
373,1000000,444.720
374,1000000,420.526
375,1000000,382.580
376,1000000,397.839
377,1000000,403.863
378,1000000,466.304
379,1000000,442.813
380,1000000,410.990
381,1000000,456.566
382,1000000,410.087
383,1000000,403.963
384,1000000,387.700
385,1000000,432.573
386,1000000,396.902
387,1000000,440.478
388,1000000,388.568
389,1000000,410.256
390,1000000,391.280
391,1000000,439.876
392,1000000,392.585
393,1000000,405.537
394,1000000,417.685
395,1000000,408.047
396,1000000,397.805
397,1000000,402.625
398,1000000,446.000
399,1000000,392.484
400,1000000,389.974
401,1000000,388.368
402,1000000,444.896
403,1000000,405.235
404,1000000,398.408
405,1000000,417.887
406,1000000,400.215
407,1000000,390.476
408,1000000,391.782
409,1000000,400.817
410,1000000,392.283
411,1000000,386.962
412,1000000,392.083
413,1000000,390.877
414,1000000,383.046
415,1000000,384.853
416,1000000,442.687
417,1000000,381.741
418,1000000,394.191
419,1000000,390.476
420,1000000,412.866
421,1000000,451.523
422,1000000,404.332
423,1000000,453.129
424,1000000,387.263
425,1000000,409.954
426,1000000,385.355
427,1000000,445.298
428,1000000,380.837
429,1000000,466.584
430,1000000,392.685
431,1000000,444.795
432,1000000,410.657
433,1000000,464.575
434,1000000,387.463
435,1000000,427.024
436,1000000,471.001
437,1000000,427.325
438,1000000,387.765
439,1000000,433.751
440,1000000,411.661
441,1000000,469.395
442,1000000,388.870
443,1000000,395.998
444,1000000,459.957
445,1000000,466.784
446,1000000,389.572
447,1000000,413.670
448,1000000,471.402
449,1000000,406.039
450,1000000,402.525
451,1000000,402.525
