step,alive,fused_us
319,1000000,495.423
320,1000000,459.070
321,1000000,443.046
322,1000000,494.221
323,1000000,524.366
324,1000000,439.441
325,1000000,450.258
326,1000000,539.488
327,1000000,522.864
328,1000000,451.459
329,1000000,521.361
330,1000000,521.562
331,1000000,435.836
332,1000000,453.562
333,1000000,461.174
334,1000000,521.962
335,1000000,439.041
336,1000000,452.561
337,1000000,525.067
338,1000000,468.684
339,1000000,457.068
340,1000000,458.870
341,1000000,517.956
342,1000000,443.347
343,1000000,451.259
344,1000000,441.845
345,1000000,499.430
346,1000000,482.104
347,1000000,537.986
348,1000000,438.940
349,1000000,451.960
350,1000000,454.063
351,1000000,527.170
352,1000000,482.404
353,1000000,504.937
354,1000000,510.045
355,1000000,464.178
356,1000000,475.194
357,1000000,467.883
358,1000000,524.265
359,1000000,436.137
360,1000000,452.961
361,1000000,444.148
362,1000000,431.831
363,1000000,509.644
364,1000000,442.046
365,1000000,448.354
366,1000000,492.719
367,1000000,453.061
368,1000000,446.652
369,1000000,456.466
370,1000000,460.472
371,1000000,461.574
372,1000000,436.738
373,1000000,477.998
374,1000000,470.186
375,1000000,474.092
376,1000000,466.280
377,1000000,486.410
378,1000000,507.441
379,1000000,460.072
380,1000000,473.391
381,1000000,481.203
382,1000000,460.472
383,1000000,455.565
384,1000000,448.455
385,1000000,460.172
386,1000000,495.524
387,1000000,448.856
388,1000000,438.340
389,1000000,452.761
390,1000000,467.282
391,1000000,450.057
392,1000000,468.585
393,1000000,476.496
394,1000000,453.162
395,1000000,471.088
396,1000000,482.104
397,1000000,551.706
398,1000000,511.046
399,1000000,544.395
400,1000000,435.535
401,1000000,435.035
402,1000000,497.226
403,1000000,521.762
404,1000000,435.937
405,1000000,461.474
406,1000000,526.970
407,1000000,436.637
408,1000000,495.223
409,1000000,476.896
410,1000000,454.164
411,1000000,449.056
412,1000000,442.647
413,1000000,443.848
414,1000000,433.433
415,1000000,544.495
416,1000000,459.271
417,1000000,429.427
418,1000000,430.429
419,1000000,442.847
420,1000000,482.004
421,1000000,428.525
422,1000000,455.265
423,1000000,509.243
424,1000000,447.654
425,1000000,434.434
426,1000000,512.749
427,1000000,546.898
428,1000000,447.153
429,1000000,443.147
430,1000000,567.930
431,1000000,439.041
432,1000000,452.560
433,1000000,452.160
434,1000000,466.281
435,1000000,435.535
436,1000000,460.773
437,1000000,474.994
438,1000000,431.930
439,1000000,444.850
440,1000000,466.381
441,1000000,542.292
442,1000000,484.708
443,1000000,461.574
444,1000000,441.945
445,1000000,492.019
446,1000000,457.768
447,1000000,533.979
448,1000000,453.663
449,1000000,555.912
450,1000000,515.453
451,1000000,496.324
452,1000000,438.339
453,1000000,468.183
454,1000000,505.237
455,1000000,532.978
456,1000000,450.758
457,1000000,447.754
458,1000000,449.757
459,1000000,434.935
460,1000000,442.947
461,1000000,453.462
462,1000000,460.773
463,1000000,499.229
464,1000000,453.562
465,1000000,434.334
466,1000000,444.349
467,1000000,457.768
468,1000000,518.257
469,1000000,439.341
470,1000000,520.259
471,1000000,454.864
472,1000000,538.186
473,1000000,476.596
474,1000000,504.536
475,1000000,481.203
476,1000000,430.028
477,1000000,505.337
478,1000000,500.731
479,1000000,434.034
480,1000000,446.953
481,1000000,537.885
482,1000000,514.051
483,1000000,439.342
484,1000000,443.948
485,1000000,453.261
486,1000000,547.600
487,1000000,488.013
488,1000000,454.964
489,1000000,532.177
490,1000000,442.245
491,1000000,500.932
492,1000000,466.782
493,1000000,453.563
494,1000000,443.147
495,1000000,534.581
496,1000000,439.442
497,1000000,454.263
498,1000000,510.245
499,1000000,459.071
500,1000000,429.828
501,1000000,522.563
502,1000000,502.934
503,1000000,433.532
504,1000000,441.745
505,1000000,503.335
506,1000000,500.831
507,1000000,458.470
508,1000000,440.242
509,1000000,440.743
510,1000000,458.369
511,1000000,530.775
512,1000000,462.576
513,1000000,433.733
514,1000000,431.730
515,1000000,450.057
516,1000000,456.166
517,1000000,426.322
518,1000000,437.439
519,1000000,450.758
520,1000000,512.448
521,1000000,448.354
522,1000000,496.925
523,1000000,510.145
524,1000000,448.054
525,1000000,453.562
526,1000000,531.576
527,1000000,483.606
528,1000000,447.454
529,1000000,540.789
530,1000000,504.236
531,1000000,436.237
532,1000000,466.955
533,1000000,477.674
534,1000000,523.658
535,1000000,478.476
536,1000000,437.901
537,1000000,445.014
538,1000000,453.429
539,1000000,485.889
540,1000000,447.719
541,1000000,443.611
542,1000000,435.597
543,1000000,544.096
544,1000000,437.801
545,1000000,432.792
546,1000000,441.408
547,1000000,502.218
548,1000000,441.107
549,1000000,442.008
550,1000000,553.813
551,1000000,470.360
552,1000000,479.177
553,1000000,443.612
554,1000000,497.210
555,1000000,459.039
556,1000000,439.404
557,1000000,508.129
558,1000000,455.433
559,1000000,516.946
560,1000000,461.745
561,1000000,552.410
562,1000000,431.590
563,1000000,530.371
564,1000000,541.791
565,1000000,439.504
566,1000000,507.929
567,1000000,554.615
568,1000000,456.435
569,1000000,437.701
570,1000000,532.775
571,1000000,497.310
572,1000000,443.311
573,1000000,461.445
574,1000000,487.291
575,1000000,434.395
576,1000000,457.236
577,1000000,505.525
578,1000000,445.816
579,1000000,446.717
580,1000000,446.116
581,1000000,513.339
582,1000000,447.519
583,1000000,462.546
584,1000000,439.204
585,1000000,529.068
586,1000000,530.470
587,1000000,523.257
588,1000000,470.461
589,1000000,492.801
590,1000000,469.559
591,1000000,449.623
592,1000000,443.811
593,1000000,496.909
594,1000000,524.059
595,1000000,450.825
596,1000000,518.048
597,1000000,470.561
598,1000000,518.348
599,1000000,441.708
600,1000000,498.912
601,1000000,466.854
602,1000000,449.022
