step,alive,fused_us
290,1000000,3014.996
291,1000000,3070.414
292,1000000,3064.892
293,1000000,3063.487
294,1000000,3052.946
295,1000000,3147.117
296,1000000,3113.886
297,1000000,3044.111
298,1000000,3025.738
299,1000000,3034.272
300,1000000,3030.557
301,1000000,3031.561
302,1000000,3018.810
303,1000000,3036.380
304,1000000,3064.290
305,1000000,3030.758
306,1000000,3047.323
307,1000000,3039.693
308,1000000,3045.817
309,1000000,3031.256
310,1000000,3063.649
311,1000000,3055.818
312,1000000,3062.343
313,1000000,3021.380
314,1000000,3051.299
315,1000000,3054.714
316,1000000,3040.556
317,1000000,3027.002
318,1000000,3032.927
319,1000000,3034.031
320,1000000,3104.513
321,1000000,3047.183
322,1000000,3028.910
323,1000000,3009.532
324,1000000,3027.002
325,1000000,3036.942
326,1000000,3038.147
327,1000000,3069.171
328,1000000,3036.742
329,1000000,3031.420
330,1000000,3029.513
331,1000000,3030.516
332,1000000,3043.569
333,1000000,3028.609
334,1000000,3087.545
335,1000000,3046.380
336,1000000,3058.327
337,1000000,3033.529
338,1000000,3062.745
339,1000000,3035.537
340,1000000,3032.023
341,1000000,3010.837
342,1000000,3036.239
343,1000000,3040.456
344,1000000,3108.328
345,1000000,3012.344
346,1000000,3039.352
347,1000000,3035.938
348,1000000,3055.015
349,1000000,3156.019
350,1000000,3145.576
351,1000000,3147.886
352,1000000,3135.134
353,1000000,3041.059
354,1000000,3085.235
355,1000000,3062.846
356,1000000,3049.090
357,1000000,3079.412
358,1000000,3119.171
359,1000000,3147.684
360,1000000,3107.223
361,1000000,3026.199
362,1000000,3058.829
363,1000000,3017.264
364,1000000,3012.746
365,1000000,3057.725
366,1000000,3049.593
367,1000000,3021.079
368,1000000,3061.440
369,1000000,3035.938
370,1000000,3014.854
371,1000000,2995.376
372,1000000,3031.019
373,1000000,3044.873
374,1000000,3031.923
375,1000000,3011.541
376,1000000,3345.777
377,1000000,3048.288
378,1000000,3028.609
379,1000000,3036.139
380,1000000,3182.926
381,1000000,3020.376
382,1000000,3052.203
383,1000000,3059.733
384,1000000,3135.436
385,1000000,3098.288
386,1000000,3132.725
387,1000000,3155.416
388,1000000,3172.785
389,1000000,3169.472
390,1000000,3187.243
391,1000000,3173.990
392,1000000,3121.580
393,1000000,3036.440
394,1000000,3020.978
395,1000000,3034.031
396,1000000,3068.769
397,1000000,3040.356
398,1000000,3007.023
399,1000000,3006.018
400,1000000,3243.869
401,1000000,3021.581
402,1000000,3011.339
403,1000000,3053.207
404,1000000,3040.657
405,1000000,3016.058
406,1000000,3034.332
407,1000000,3054.312
408,1000000,3079.412
409,1000000,3045.476
410,1000000,3019.171
411,1000000,3037.745
412,1000000,3036.641
413,1000000,3070.075
414,1000000,3077.705
415,1000000,3059.834
416,1000000,3063.750
417,1000000,3024.492
418,1000000,3023.087
419,1000000,3043.468
420,1000000,3028.910
421,1000000,3044.573
422,1000000,3036.441
423,1000000,3099.793
424,1000000,3144.271
425,1000000,3028.408
426,1000000,3038.247
427,1000000,3004.512
428,1000000,3017.766
429,1000000,3034.231
430,1000000,3033.027
431,1000000,3023.388
432,1000000,3059.031
433,1000000,3052.906
434,1000000,3032.023
435,1000000,3018.870
436,1000000,3029.111
437,1000000,3039.753
438,1000000,3016.461
439,1000000,3043.770
440,1000000,3064.753
441,1000000,3085.938
442,1000000,3048.991
443,1000000,3121.480
444,1000000,3159.934
445,1000000,3158.830
446,1000000,3154.311
447,1000000,3149.492
448,1000000,3161.942
449,1000000,3124.492
450,1000000,3149.191
451,1000000,3133.328
452,1000000,3156.018
453,1000000,3166.058
454,1000000,3163.749
455,1000000,3153.207
456,1000000,3107.123
457,1000000,2996.581
458,1000000,3025.597
459,1000000,3032.022
460,1000000,3052.203
461,1000000,3018.168
462,1000000,3013.951
463,1000000,3059.733
464,1000000,3055.517
465,1000000,3020.678
466,1000000,3037.947
467,1000000,3012.143
468,1000000,3014.151
469,1000000,3024.794
470,1000000,3023.790
471,1000000,3037.746
472,1000000,3071.179
473,1000000,3044.071
474,1000000,3015.055
475,1000000,3026.300
476,1000000,3031.420
477,1000000,3041.360
478,1000000,3043.468
479,1000000,3053.710
480,1000000,3077.505
481,1000000,3033.227
482,1000000,3025.697
483,1000000,3041.560
484,1000000,3015.055
485,1000000,3016.962
486,1000000,3040.356
487,1000000,3055.416
488,1000000,3050.196
489,1000000,3039.653
490,1000000,3028.006
491,1000000,3060.637
492,1000000,3046.079
493,1000000,3059.834
494,1000000,3109.533
495,1000000,3172.183
496,1000000,3244.070
497,1000000,3071.782
498,1000000,3145.276
499,1000000,3203.910
500,1000000,3244.472
501,1000000,3138.850
502,1000000,3181.821
503,1000000,3161.139
504,1000000,3129.111
505,1000000,3062.244
506,1000000,3126.902
507,1000000,3141.259
508,1000000,3153.709
509,1000000,3184.432
510,1000000,3183.628
511,1000000,3157.424
512,1000000,3119.773
513,1000000,3066.259
514,1000000,3046.279
515,1000000,3041.260
516,1000000,3078.207
517,1000000,3175.798
518,1000000,3179.813
519,1000000,3147.384
520,1000000,3107.324
521,1000000,3032.826
522,1000000,3031.521
523,1000000,3041.360
524,1000000,3045.577
525,1000000,3077.303
526,1000000,3047.083
527,1000000,3114.252
528,1000000,3318.468
529,1000000,3025.195
530,1000000,3021.882
531,1000000,3020.175
532,1000000,3033.428
533,1000000,3018.067
534,1000000,3042.163
535,1000000,3033.629
536,1000000,3039.653
537,1000000,3044.974
538,1000000,3108.729
539,1000000,3170.777
540,1000000,3121.882
541,1000000,3168.468
542,1000000,3138.548
543,1000000,3159.030
544,1000000,3111.440
545,1000000,3027.504
546,1000000,3057.123
547,1000000,3050.898
548,1000000,3043.669
549,1000000,3058.428
550,1000000,3153.207
551,1000000,3178.207
552,1000000,3145.778
553,1000000,3128.609
554,1000000,3165.456
555,1000000,3173.588
556,1000000,3145.074
557,1000000,3151.801
558,1000000,3160.737
559,1000000,3232.123
560,1000000,3419.149
561,1000000,3068.409
562,1000000,3024.733
563,1000000,3036.681
564,1000000,3018.306
565,1000000,3036.179
566,1000000,3017.001
567,1000000,3018.005
568,1000000,3052.746
569,1000000,3026.339
570,1000000,3015.195
571,1000000,3010.575
572,1000000,3024.131
573,1000000,3010.676
574,1000000,3038.589
575,1000000,3050.337
576,1000000,3071.120
577,1000000,3038.689
578,1000000,3039.091
579,1000000,3011.077
580,1000000,3018.608
581,1000000,3043.609
582,1000000,3026.942
583,1000000,3039.192
584,1000000,3055.357
585,1000000,3046.923
586,1000000,3008.367
587,1000000,3033.267
588,1000000,3042.404
589,1000000,3047.726
590,1000000,3038.187
591,1000000,3069.815
592,1000000,3100.840
593,1000000,3027.945
594,1000000,3032.163
595,1000000,3032.967
596,1000000,3057.866
597,1000000,3049.734
598,1000000,3056.963
599,1000000,3050.136
600,1000000,3130.059
601,1000000,3055.658
602,1000000,3064.193
603,1000000,3107.468
604,1000000,3173.937
605,1000000,3163.394
606,1000000,3160.984
607,1000000,3174.839
608,1000000,3132.870
609,1000000,3099.134
610,1000000,3135.480
611,1000000,3146.626
612,1000000,3173.735
613,1000000,3172.329
614,1000000,3169.217
615,1000000,3169.418
616,1000000,3110.680
617,1000000,3083.571
618,1000000,3058.168
619,1000000,3074.936
620,1000000,3115.801
621,1000000,3148.132
622,1000000,3149.236
623,1000000,3164.698
624,1000000,3336.292
625,1000000,3041.400
626,1000000,3055.859
627,1000000,3024.432
628,1000000,3015.697
629,1000000,3013.487
630,1000000,3055.558
631,1000000,3041.903
632,1000000,3209.079
633,1000000,3013.788
634,1000000,3035.576
635,1000000,3023.628
636,1000000,3027.043
637,1000000,3048.930
638,1000000,3068.309
639,1000000,3045.617
640,1000000,3127.549
641,1000000,3048.329
642,1000000,3026.038
643,1000000,3014.592
644,1000000,3030.556
645,1000000,3036.079
646,1000000,3051.642
647,1000000,3028.548
648,1000000,3094.113
649,1000000,3144.015
650,1000000,3157.670
651,1000000,3135.280
652,1000000,3172.832
653,1000000,3143.111
654,1000000,3156.867
655,1000000,3208.275
656,1000000,3450.254
657,1000000,3068.409
658,1000000,3010.375
659,1000000,3012.182
660,1000000,3054.252
661,1000000,3030.857
662,1000000,3039.291
663,1000000,3027.645
664,1000000,3056.461
665,1000000,3019.914
666,1000000,3023.929
667,1000000,3040.698
668,1000000,3060.177
669,1000000,3046.722
670,1000000,3064.594
671,1000000,3156.967
672,1000000,3144.518
673,1000000,3067.104
674,1000000,3055.356
675,1000000,3044.211
676,1000000,3079.555
677,1000000,3045.216
678,1000000,3046.320
679,1000000,3119.616
680,1000000,3158.473
681,1000000,3023.930
682,1000000,3008.667
683,1000000,3006.760
684,1000000,3046.622
685,1000000,3034.873
686,1000000,3018.909
687,1000000,3012.282
688,1000000,3054.352
689,1000000,3016.700
690,1000000,3064.494
691,1000000,3045.818
692,1000000,3147.429
693,1000000,3135.682
694,1000000,3187.792
695,1000000,3165.402
696,1000000,3166.406
697,1000000,3028.950
698,1000000,3040.898
699,1000000,3033.568
700,1000000,3029.452
701,1000000,3057.767
702,1000000,3054.052
703,1000000,3044.011
704,1000000,3160.883
705,1000000,3106.162
706,1000000,3149.738
707,1000000,3146.224
708,1000000,3134.577
709,1000000,3146.726
710,1000000,3216.308
711,1000000,3207.572
712,1000000,3212.191
713,1000000,3026.038
714,1000000,3013.085
715,1000000,3047.726
716,1000000,3048.730
717,1000000,3039.694
718,1000000,3040.998
719,1000000,3063.389
720,1000000,3277.455
721,1000000,3036.781
722,1000000,3021.219
723,1000000,3032.966
724,1000000,3024.431
725,1000000,3018.808
726,1000000,3054.352
727,1000000,3043.308
728,1000000,3068.711
729,1000000,3022.925
730,1000000,3044.814
731,1000000,3008.768
732,1000000,3022.123
733,1000000,3013.688
734,1000000,3028.247
735,1000000,3031.259
736,1000000,3055.055
737,1000000,3012.784
738,1000000,3015.796
739,1000000,3051.440
740,1000000,3070.418
741,1000000,3049.031
742,1000000,3045.115
743,1000000,3125.742
744,1000000,3071.522
745,1000000,3033.368
746,1000000,3028.649
747,1000000,3027.142
748,1000000,3046.621
749,1000000,3019.813
750,1000000,3051.541
751,1000000,3006.760
752,1000000,3054.855
753,1000000,3022.323
754,1000000,3029.553
755,1000000,3038.790
756,1000000,3026.741
757,1000000,3044.111
758,1000000,3169.920
759,1000000,3189.600
760,1000000,3135.983
761,1000000,2993.105
762,1000000,3009.773
763,1000000,3035.979
764,1000000,3031.962
765,1000000,3063.188
766,1000000,3026.941
767,1000000,3074.535
768,1000000,3031.560
769,1000000,3048.128
770,1000000,3067.104
771,1000000,3098.331
772,1000000,3113.592
773,1000000,3097.427
774,1000000,3165.000
775,1000000,3170.824
776,1000000,3114.395
777,1000000,3062.887
778,1000000,3038.990
779,1000000,3056.160
780,1000000,3185.483
781,1000000,3140.200
782,1000000,3166.406
783,1000000,3133.875
784,1000000,3398.344
785,1000000,3071.421
786,1000000,3046.420
787,1000000,3022.323
788,1000000,3019.310
789,1000000,3030.757
790,1000000,3018.508
791,1000000,3042.304
792,1000000,3042.003
793,1000000,3130.360
794,1000000,3154.458
795,1000000,3143.815
796,1000000,3152.851
797,1000000,3147.630
798,1000000,3142.810
799,1000000,3192.611
800,1000000,3174.237
801,1000000,3156.164
802,1000000,3151.847
803,1000000,3158.474
804,1000000,3170.723
805,1000000,3156.566
806,1000000,3165.803
807,1000000,3156.165
808,1000000,3148.032
809,1000000,3006.860
810,1000000,3022.625
811,1000000,3010.575
812,1000000,3029.595
813,1000000,3024.353
814,1000000,3028.771
815,1000000,3023.951
816,1000000,3060.401
817,1000000,3017.325
818,1000000,3019.634
819,1000000,3058.995
820,1000000,3011.300
821,1000000,3014.613
822,1000000,3058.694
823,1000000,3072.751
824,1000000,3081.687
825,1000000,3019.132
826,1000000,3029.073
827,1000000,3054.375
828,1000000,3038.912
829,1000000,3059.597
830,1000000,3065.522
831,1000000,3170.450
832,1000000,3104.280
833,1000000,3007.685
834,1000000,3037.909
835,1000000,3049.355
836,1000000,3008.388
837,1000000,3017.525
838,1000000,3040.017
839,1000000,3046.042
840,1000000,3043.933
841,1000000,3047.046
842,1000000,3023.650
843,1000000,3002.866
844,1000000,3026.562
845,1000000,3053.372
846,1000000,3049.556
847,1000000,3050.460
848,1000000,3081.486
849,1000000,3050.661
850,1000000,3049.355
851,1000000,3019.333
852,1000000,3031.080
853,1000000,3032.085
854,1000000,3090.825
855,1000000,3048.250
856,1000000,3087.210
857,1000000,3036.503
858,1000000,3039.415
859,1000000,3050.661
860,1000000,3066.024
861,1000000,3113.718
862,1000000,3138.921
863,1000000,3142.536
864,1000000,3157.999
865,1000000,3052.166
866,1000000,3044.937
867,1000000,3041.724
868,1000000,3127.675
869,1000000,3194.448
870,1000000,3167.939
871,1000000,3157.999
872,1000000,3106.188
873,1000000,3040.820
874,1000000,3043.330
875,1000000,3101.970
876,1000000,3170.048
877,1000000,3157.397
878,1000000,3154.686
879,1000000,3150.167
880,1000000,3282.207
881,1000000,3011.299
882,1000000,3046.543
883,1000000,3043.431
884,1000000,3162.618
885,1000000,3042.326
886,1000000,3032.687
887,1000000,3055.179
888,1000000,3059.496
889,1000000,3025.157
890,1000000,3019.433
891,1000000,3030.478
892,1000000,3013.408
893,1000000,3031.081
894,1000000,3030.679
895,1000000,3039.214
896,1000000,3063.112
897,1000000,3041.724
898,1000000,3032.687
899,1000000,3036.402
900,1000000,3008.288
901,1000000,3029.776
902,1000000,3043.331
903,1000000,3134.805
904,1000000,3129.583
905,1000000,3007.584
906,1000000,3014.111
907,1000000,3020.738
908,1000000,3083.093
909,1000000,3053.874
910,1000000,3055.079
911,1000000,3076.366
912,1000000,3235.315
913,1000000,3087.712
914,1000000,3019.031
915,1000000,3024.454
916,1000000,3029.374
917,1000000,3019.333
918,1000000,3030.679
919,1000000,3022.345
920,1000000,3060.602
921,1000000,3049.857
922,1000000,3049.456
923,1000000,3029.073
924,1000000,3012.303
925,1000000,3032.185
926,1000000,3035.399
927,1000000,3023.249
928,1000000,3075.763
929,1000000,3045.640
930,1000000,3015.216
931,1000000,3012.304
932,1000000,3049.656
933,1000000,3057.689
934,1000000,3048.451
935,1000000,3053.171
936,1000000,3051.163
937,1000000,3043.531
938,1000000,3022.545
